ProdName,Annotations
switches and routers ARUBA 550 SERIES Aruba,"[(0, 20, 'Category'), (21, 37, 'Series'), (38, 43, 'Brand')]"
ARUBA 530 SERIES switches and routers Aruba,"[(0, 16, 'Series'), (17, 37, 'Category'), (38, 43, 'Brand')]"
switches and routers ARUBA 510 SERIES Aruba,"[(0, 20, 'Category'), (21, 37, 'Series'), (38, 43, 'Brand')]"
Aruba switches and routers ARUBA 500 SERIES,"[(0, 5, 'Brand'), (6, 26, 'Category'), (27, 43, 'Series')]"
switches and routers ARUBA 340 SERIES Aruba,"[(0, 20, 'Category'), (21, 37, 'Series'), (38, 43, 'Brand')]"
Aruba switches and routers ARUBA 330 SERIES,"[(0, 5, 'Brand'), (6, 26, 'Category'), (27, 43, 'Series')]"
Aruba switches and routers ARUBA 320 SERIES,"[(0, 5, 'Brand'), (6, 26, 'Category'), (27, 43, 'Series')]"
Aruba switches and routers ARUBA 310 SERIES,"[(0, 5, 'Brand'), (6, 26, 'Category'), (27, 43, 'Series')]"
switches and routers Aruba ARUBA 303 SERIES,"[(0, 20, 'Category'), (21, 26, 'Brand'), (27, 43, 'Series')]"
ARUBA 300 SERIES switches and routers Aruba,"[(0, 16, 'Series'), (17, 37, 'Category'), (38, 43, 'Brand')]"
switches and routers ARUBA 207 SERIES Aruba,"[(0, 20, 'Category'), (21, 37, 'Series'), (38, 43, 'Brand')]"
ARUBA 318 SERIES switches and routers Aruba,"[(0, 16, 'Series'), (17, 37, 'Category'), (38, 43, 'Brand')]"
ARUBA 228 SERIES Aruba switches and routers,"[(0, 16, 'Series'), (17, 22, 'Brand'), (23, 43, 'Category')]"
ARUBA 370 SERIES switches and routers Aruba,"[(0, 16, 'Series'), (17, 37, 'Category'), (38, 43, 'Brand')]"
Aruba switches and routers ARUBA 360 SERIES,"[(0, 5, 'Brand'), (6, 26, 'Category'), (27, 43, 'Series')]"
Aruba ARUBA 270 SERIES switches and routers,"[(0, 5, 'Brand'), (6, 22, 'Series'), (23, 43, 'Category')]"
"ARUBA 370EX
SERIES switches and routers Aruba","[(0, 18, 'Series'), (19, 39, 'Category'), (40, 45, 'Brand')]"
"ARUBA 303H
SERIES Aruba switches and routers","[(0, 17, 'Series'), (18, 23, 'Brand'), (24, 44, 'Category')]"
"Aruba ARUBA 203H
SERIES switches and routers","[(0, 5, 'Brand'), (6, 23, 'Series'), (24, 44, 'Category')]"
"switches and routers Aruba ARUBA 203R
SERIES","[(0, 20, 'Category'), (21, 26, 'Brand'), (27, 44, 'Series')]"
"ARUBA 501
WIRELESS CLIENT BRIDGE Aruba switches and routers","[(0, 32, 'Series'), (33, 38, 'Brand'), (39, 59, 'Category')]"
switches and routers Aruba ARUBA CX 8400 SWITCH SERIES,"[(0, 20, 'Category'), (21, 26, 'Brand'), (27, 54, 'Series')]"
Aruba ARUBA CX 8325 SWITCH SERIES switches and routers,"[(0, 5, 'Brand'), (6, 33, 'Series'), (34, 54, 'Category')]"
switches and routers ARUBA CX 8320 SWITCH SERIES Aruba,"[(0, 20, 'Category'), (21, 48, 'Series'), (49, 54, 'Brand')]"
switches and routers ARUBA CX 6400 SWITCH SERIES Aruba,"[(0, 20, 'Category'), (21, 48, 'Series'), (49, 54, 'Brand')]"
Aruba ARUBA CX 6300 SWITCH SERIES switches and routers,"[(0, 5, 'Brand'), (6, 33, 'Series'), (34, 54, 'Category')]"
