ProdName,Annotations
1.5 TB Seagate USB 3.0 USB 2.0 HardDisk Portable Hard Drive,"[(0, 6, 'Capacity'), (7, 14, 'Brand'), (15, 30, 'Connectivity'), (31, 39, 'Category'), (40, 59, 'Type')]"
USB 2.0 USB 3.0 HardDisk WD Portable Hard Drive 1 TB,"[(0, 15, 'Connectivity'), (16, 24, 'Category'), (25, 27, 'Brand'), (28, 47, 'Type'), (48, 52, 'Capacity')]"
USB 3.0 USB 2.0 Portable Hard Drive HardDisk WD 1 TB,"[(0, 15, 'Connectivity'), (16, 35, 'Type'), (36, 44, 'Category'), (45, 47, 'Brand'), (48, 52, 'Capacity')]"
HardDisk USB 3.0 USB 2.0 Portable Hard Drive Seagate 1 TB,"[(0, 8, 'Category'), (9, 24, 'Connectivity'), (25, 44, 'Type'), (45, 52, 'Brand'), (53, 57, 'Capacity')]"
USB 3.0 USB 2.0 HardDisk Seagate Portable Hard Drive 1 TB,"[(0, 15, 'Connectivity'), (16, 24, 'Category'), (25, 32, 'Brand'), (33, 52, 'Type'), (53, 57, 'Capacity')]"
HardDisk WD Portable Hard Drive USB 2.0 USB 3.0 2 TB,"[(0, 8, 'Category'), (9, 11, 'Brand'), (12, 31, 'Type'), (32, 47, 'Connectivity'), (48, 52, 'Capacity')]"
Portable Hard Drive HardDisk Seagate USB 3.0 USB 2.0 1 TB,"[(0, 19, 'Type'), (20, 28, 'Category'), (29, 36, 'Brand'), (37, 52, 'Connectivity'), (53, 57, 'Capacity')]"
2 TB HardDisk Seagate USB 3.0 USB 2.0 Portable Hard Drive,"[(0, 4, 'Capacity'), (5, 13, 'Category'), (14, 21, 'Brand'), (22, 37, 'Connectivity'), (38, 57, 'Type')]"
Portable Hard Drive USB 2.0 USB 3.0 Toshiba HardDisk 4 TB,"[(0, 19, 'Type'), (20, 35, 'Connectivity'), (36, 43, 'Brand'), (44, 52, 'Category'), (53, 57, 'Capacity')]"
USB 3.0 USB 2.0 Portable Hard Drive HardDisk Seagate 2 TB,"[(0, 15, 'Connectivity'), (16, 35, 'Type'), (36, 44, 'Category'), (45, 52, 'Brand'), (53, 57, 'Capacity')]"
WD HardDisk 2 TB Portable Hard Drive USB 3.0 USB 2.0,"[(0, 2, 'Brand'), (3, 11, 'Category'), (12, 16, 'Capacity'), (17, 36, 'Type'), (37, 52, 'Connectivity')]"
USB 3.0 USB 2.0 HardDisk Seagate Portable Hard Drive 1 TB,"[(0, 15, 'Connectivity'), (16, 24, 'Category'), (25, 32, 'Brand'), (33, 52, 'Type'), (53, 57, 'Capacity')]"
USB 3.0 USB 2.0 Portable Hard Drive HardDisk Lenovo 1 TB,"[(0, 15, 'Connectivity'), (16, 35, 'Type'), (36, 44, 'Category'), (45, 51, 'Brand'), (52, 56, 'Capacity')]"
2 TB Seagate USB 3.0 USB 2.0 Portable Hard Drive HardDisk,"[(0, 4, 'Capacity'), (5, 12, 'Brand'), (13, 28, 'Connectivity'), (29, 48, 'Type'), (49, 57, 'Category')]"
Portable Hard Drive USB 3.0 USB 2.0 HardDisk Seagate 2 TB,"[(0, 19, 'Type'), (20, 35, 'Connectivity'), (36, 44, 'Category'), (45, 52, 'Brand'), (53, 57, 'Capacity')]"
USB 3.0 USB 2.0 Seagate HardDisk Portable Hard Drive 2 TB,"[(0, 15, 'Connectivity'), (16, 23, 'Brand'), (24, 32, 'Category'), (33, 52, 'Type'), (53, 57, 'Capacity')]"
Seagate 1 TB HardDisk Portable Hard Drive USB 3.0 USB 2.0,"[(0, 7, 'Brand'), (8, 12, 'Capacity'), (13, 21, 'Category'), (22, 41, 'Type'), (42, 57, 'Connectivity')]"
Seagate USB 2.0 USB 3.0 500 GB HardDisk Portable Hard Drive,"[(0, 7, 'Brand'), (8, 23, 'Connectivity'), (24, 30, 'Capacity'), (31, 39, 'Category'), (40, 59, 'Type')]"
Seagate HardDisk Portable Hard Drive USB 2.0 USB 3.0 500 GB,"[(0, 7, 'Brand'), (8, 16, 'Category'), (17, 36, 'Type'), (37, 52, 'Connectivity'), (53, 59, 'Capacity')]"
Seagate Portable Hard Drive 5 TB HardDisk USB 3.0 USB 2.0,"[(0, 7, 'Brand'), (8, 27, 'Type'), (28, 32, 'Capacity'), (33, 41, 'Category'), (42, 57, 'Connectivity')]"
USB 3.0 USB 2.0 Portable Hard Drive 1.5 TB HardDisk Seagate,"[(0, 15, 'Connectivity'), (16, 35, 'Type'), (36, 42, 'Capacity'), (43, 51, 'Category'), (52, 59, 'Brand')]"
1 TB Portable Hard Drive WD HardDisk USB 2.0 USB 3.0,"[(0, 4, 'Capacity'), (5, 24, 'Type'), (25, 27, 'Brand'), (28, 36, 'Category'), (37, 52, 'Connectivity')]"
USB 3.0 USB 2.0 WD Portable Hard Drive 1 TB HardDisk,"[(0, 15, 'Connectivity'), (16, 18, 'Brand'), (19, 38, 'Type'), (39, 43, 'Capacity'), (44, 52, 'Category')]"
Seagate 1 TB Portable Hard Drive HardDisk USB 3.0 USB 2.0,"[(0, 7, 'Brand'), (8, 12, 'Capacity'), (13, 32, 'Type'), (33, 41, 'Category'), (42, 57, 'Connectivity')]"
1 TB HardDisk Seagate Portable Hard Drive USB 3.0 USB 2.0,"[(0, 4, 'Capacity'), (5, 13, 'Category'), (14, 21, 'Brand'), (22, 41, 'Type'), (42, 57, 'Connectivity')]"
HardDisk WD 2 TB Portable Hard Drive USB 2.0 USB 3.0,"[(0, 8, 'Category'), (9, 11, 'Brand'), (12, 16, 'Capacity'), (17, 36, 'Type'), (37, 52, 'Connectivity')]"
Portable Hard Drive Seagate HardDisk 1 TB USB 3.0 USB 2.0,"[(0, 19, 'Type'), (20, 27, 'Brand'), (28, 36, 'Category'), (37, 41, 'Capacity'), (42, 57, 'Connectivity')]"
USB 3.0 USB 2.0 2 TB Seagate Portable Hard Drive HardDisk,"[(0, 15, 'Connectivity'), (16, 20, 'Capacity'), (21, 28, 'Brand'), (29, 48, 'Type'), (49, 57, 'Category')]"
Portable Hard Drive HardDisk USB 2.0 USB 3.0 4 TB Toshiba,"[(0, 19, 'Type'), (20, 28, 'Category'), (29, 44, 'Connectivity'), (45, 49, 'Capacity'), (50, 57, 'Brand')]"
Portable Hard Drive HardDisk 2 TB Seagate USB 3.0 USB 2.0,"[(0, 19, 'Type'), (20, 28, 'Category'), (29, 33, 'Capacity'), (34, 41, 'Brand'), (42, 57, 'Connectivity')]"
Portable Hard Drive USB 3.0 USB 2.0 WD 2 TB HardDisk,"[(0, 19, 'Type'), (20, 35, 'Connectivity'), (36, 38, 'Brand'), (39, 43, 'Capacity'), (44, 52, 'Category')]"
USB 3.0 USB 2.0 HardDisk Seagate Portable Hard Drive 1 TB,"[(0, 15, 'Connectivity'), (16, 24, 'Category'), (25, 32, 'Brand'), (33, 52, 'Type'), (53, 57, 'Capacity')]"
Lenovo USB 3.0 USB 2.0 1 TB Portable Hard Drive HardDisk,"[(0, 6, 'Brand'), (7, 22, 'Connectivity'), (23, 27, 'Capacity'), (28, 47, 'Type'), (48, 56, 'Category')]"
2 TB Portable Hard Drive Seagate HardDisk USB 3.0 USB 2.0,"[(0, 4, 'Capacity'), (5, 24, 'Type'), (25, 32, 'Brand'), (33, 41, 'Category'), (42, 57, 'Connectivity')]"
HardDisk USB 3.0 USB 2.0 Seagate Portable Hard Drive 2 TB,"[(0, 8, 'Category'), (9, 24, 'Connectivity'), (25, 32, 'Brand'), (33, 52, 'Type'), (53, 57, 'Capacity')]"
